patent_id,title,abstract,ipc_codes,cpc_codes,cites,cited_by,publication_year
031-198-278-780-306,Buried seam with kirigami pattern for 3D micro LED display,"Display structures and methods of assembly are described. In an embodiment, a display structure includes a display panel including a pattern of trenches extending at least partially through a backplane of the display panel, without extending past a matrix of LEDs in an overlying emission layer stack. The plurality of trenches can be formed in 2D to facilitate bending of the display panel into a 3D film curvature.",H01L25/075; H01L25/16; H10D86/40; H10D86/60; H10H20/821; H10H20/857; H10H29/14,H01L25/167; H01L25/0753; H10D86/441; H10D86/60; H10H20/821; H10H20/857; H10H29/142,045-988-979-090-695; 020-688-415-681-367; 095-885-422-350-375,,2026
066-330-957-186-638,Method for forming semiconductor redistribution structures,"An embodiment is a method including forming a first interconnect structure over a first substrate, forming a redistribution via over the first interconnect structure, the redistribution via being electrically coupled to at least one of the metallization patterns of the first interconnect structure, forming a redistribution pad over the redistribution via, the redistribution pad being electrically coupled to the redistribution via, forming a first dielectric layer over the redistribution pad, and forming a second dielectric layer over the first dielectric layer. The method also includes patterning the first and second dielectric layers, forming a bond via over the redistribution pad and in the first dielectric layer, the bonding via being electrically coupled to the redistribution pad, the bond via overlapping the redistribution via, and forming a first bond pad over the bonding via and in the second dielectric layer, the first bond pad being electrically coupled to the bond via.",H01L23/00; H01L21/768; H01L23/522; H01L23/528,H01L24/08; H01L21/76807; H01L21/76816; H01L21/7684; H01L21/76898; H01L23/5226; H01L23/5283; H01L24/03; H01L24/05; H01L24/80; H01L24/19; H01L24/20; H01L2224/02313; H01L2224/02331; H01L2224/02372; H01L2224/02381; H01L2224/0362; H01L2224/03622; H01L2224/05006; H01L2224/05008; H01L2224/05082; H01L2224/05546; H01L2224/05573; H01L2224/05647; H01L2224/08237; H01L2224/211; H01L2224/214; H01L2224/80895; H01L2224/80896,023-808-609-447-897; 122-693-795-105-779; 028-230-051-582-099; 079-242-188-581-255; 060-912-289-579-488; 041-068-118-289-398; 035-565-594-011-020; 169-589-506-787-095; 070-261-029-889-451; 049-643-516-753-300; 174-878-795-678-283; 048-093-905-285-758; 029-051-783-520-275; 012-365-921-517-870,,2026
070-948-469-554-031,Metal nitride core-shell particle die-attach material,"Die attach materials are provided. In one example, the die-attach material includes a plurality of core-shell particles. Each core-shell particle includes a core and a shell on the core. The core includes a conducting material. The shell includes a metal nitride.",H01L23/00; H01L23/495,H01L24/29; H01L23/49582; H01L24/32; H01L24/48; H01L2224/2979; H01L2224/29847; H01L2224/29987; H01L2224/32245; H01L2224/48245; H01L2924/182,026-381-479-262-550; 131-949-189-742-930; 062-115-512-016-444; 099-214-431-513-218; 113-287-203-426-692,,2026
039-447-905-859-490,Semiconductor device and method for fabricating the same,"A semiconductor device includes: a substrate having a first semiconductor layer, an insulating layer, and a second semiconductor layer; an active device on the substrate; an interlayer dielectric (ILD) layer on the active device; a first contact plug in the ILD layer and electrically connected to the active device; and a second contact plug in the ILD layer and the insulating layer, wherein a top surface of the second contact plug is higher than a top surface of the ILD layer.",H10D30/67; H01L21/762; H01L21/768; H10D86/00,H01L21/76897; H01L21/7624; H01L21/76832; H01L21/76895; H10D30/6758; H10D86/201,016-315-762-319-753; 106-959-593-454-191; 015-036-246-370-001; 055-542-108-645-495; 070-656-101-102-948; 151-919-953-339-45X; 007-980-714-036-736; 072-055-271-119-207; 038-484-896-841-411,,2026
127-083-208-585-573,Shielding assembly for semiconductor packages,A semiconductor package including a package substrate including a bottom surface; a first plurality of solder balls connected to the bottom surface of the package substrate; a second plurality of solder balls connected to a motherboard; and a shielding assembly interposed between the first and the second plurality of solder balls and configured to shield each solder ball of the first and second plurality of solder balls from electromagnetic interference.,H01L23/48; H01L21/48; H01L23/498; H01L23/52; H01L23/552,H01L23/552; H01L21/4853; H01L23/49816,,,2026
186-593-516-323-217,Semiconductor devices and data storage systems including the same,"A semiconductor device includes a substrate having first and second regions; a first stack structure including lower gate electrodes stacked in a first direction in the first region; a first channel structure penetrating through the first stack structure; a second stack structure on the first stack structure and the first channel structure and including upper gate electrodes stacked in the first direction; a second channel structure penetrating through the second stack structure; a first mold structure including lower horizontal sacrificial layers stacked in the second region; an alignment structure penetrating through the first mold structure; and a second mold structure on the first mold structure and the alignment structure and including upper horizontal sacrificial layers stacked, wherein the number of the lower horizontal sacrificial layers is less than the number of the lower gate electrodes.",H01L23/544; H10B41/27; H10B41/35; H10B43/27; H10B43/35,H01L23/544; H10B41/27; H10B41/35; H10B43/27; H10B43/35; H01L2223/54426,,,2026
175-984-532-658-104,Method for forming via structure with low resistivity,"A method for forming a semiconductor device structure is provided. The method includes forming a first insulating layer and first and second gate spacers in first and second openings of the first insulating layer, respectively, forming a first conductive gate stack adjacent to the first gate spacer and forming an insulating material adjacent to the second gate spacer after forming the first conductive gate stack. The method also includes covering the first conductive gate stack and the insulating material with a first insulating capping layer and a second insulating capping layer, respectively, and forming a source/drain contact structure between the first and second gate spacer layers. The top surface of the first insulating layer is higher than those of the insulating material and is substantially level with that of the first conductive gate stack.",H10D30/62; H01L21/48; H01L21/768; H01L23/522; H10D30/01; H10D64/27,H10D30/62; H01L21/486; H01L21/76805; H01L23/5226; H10D30/024; H10D30/6219; H10D64/511,139-394-118-158-918; 117-555-945-586-12X; 052-427-488-876-128; 095-725-106-901-646; 155-515-609-238-240; 106-597-375-571-538; 108-751-779-585-448; 147-302-727-533-719; 008-671-850-638-296; 069-479-305-358-072; 037-058-676-113-000; 132-996-610-081-020; 112-780-923-417-746,,2026
084-724-243-629-526,Image pickup unit having resin in via holes for an endoscope,"An image pickup unit includes: an image pickup substrate including a first principal surface and a second principal surface, a light receiving circuit being formed on the first principal surface and a through wiring being placed on an inner surface of a via hole including an opening in the second principal surface; a solder resist film placed around the via hole on the second principal surface and in the via hole in a range from a bottom face to a level not reaching the second principal surface; and a bonding terminal which is made of solder, covers a surface of the solder resist film placed in the via hole, and is bonded to the through wiring on an outer edge of the opening in the via hole, the through wiring being not covered with the solder resist film.",H01L23/00; A61B1/00; A61B1/05; H10F39/00; H10F39/12; H10F77/00,H01L24/05; A61B1/0011; A61B1/051; H01L24/08; H01L24/13; H01L24/16; H10F39/12; H10F39/811; H10F77/93; H01L2224/0219; H01L2224/0311; H01L2224/0345; H01L2224/0346; H01L2224/0401; H01L2224/05144; H01L2224/05147; H01L2224/05155; H01L2224/05541; H01L2224/05558; H01L2224/05624; H01L2224/05644; H01L2224/05647; H01L2224/05655; H01L2224/131,007-923-676-121-233; 110-819-694-465-498; 158-565-116-693-880; 063-922-569-472-843; 134-049-584-395-321; 123-754-147-377-242,,2026
062-805-343-713-852,Semiconductor package,"Provided is a semiconductor package including a package substrate including a substrate pad, a first chip stacked structure including a first base chip mounted on an upper surface of the package substrate, and one or more first stacked chips sequentially offset-stacked along a first direction on the first base chip, a second chip stacked structure including a second base chip offset-stacked along the first direction on an upper surface of the first chip stacked structure, and one or more second stacked chips sequentially offset-stacked along the first direction on the second base chip, a bonding wire, and a first support mounted on the package substrate to be spaced apart from the first chip stacked structure in the first direction and supporting the second chip stacked structure, wherein the first support supports the second chip stacked structure by supporting a lower surface of the second base chip.",H01L25/065; H01L23/00; H10B80/00,H01L25/0652; H01L24/16; H01L24/32; H01L24/48; H01L24/73; H10B80/00; H01L2224/16225; H01L2224/32145; H01L2224/32225; H01L2224/48149; H01L2224/48229; H01L2224/73215; H01L2924/1436,077-064-755-973-369; 159-790-238-259-844; 092-072-246-167-506; 084-796-899-731-083; 023-915-638-989-912; 181-733-119-736-501; 195-946-965-948-447; 057-216-371-595-674; 065-138-601-215-489; 135-468-829-909-355; 008-324-926-886-696; 110-066-579-385-798; 180-673-844-301-916; 032-572-124-901-834; 081-595-097-765-142; 084-177-759-807-397; 032-207-976-166-088,,2026
082-456-438-227-200,Package bumps of a package substrate having diagonal package bumps,"Disclosed are techniques for integrated circuits (ICs). In an aspect, an IC package includes a package substrate having an upper surface, a lower surface, a first side, and a second side perpendicular to the first side. The package substrate includes a metallization structure. The IC package further includes an IC die attached to the upper surface of the package substrate; first package bumps on the lower surface of the package substrate; and second package bumps on the lower surface of the package substrate. The first package bumps are arranged adjacent to one another along a diagonal direction that is diagonal to the package substrate, and the second package bumps are arranged adjacent to one another along the diagonal direction.",H01L23/498; H01L21/48; H01L23/00; H01L23/64,H01L23/49838; H01L21/486; H01L23/49816; H01L23/645; H01L24/16; H01L24/17; H01L24/32; H01L24/73; H01L2224/16227; H01L2224/17132; H01L2224/17133; H01L2224/17515; H01L2224/32225; H01L2224/73204; H01L2924/15311,,,2026
042-291-677-374-562,Semiconductor device and electronic system including the same,"A semiconductor device includes a first semiconductor structure including a first substrate and circuit devices; and a second semiconductor structure including a second substrate on the first semiconductor structure and having a first region and a second region, gate electrodes in the first region and stacked in a first direction, and extending in the second region by different lengths in a second direction, channel structures extending by penetrating through the gate electrodes, separation regions penetrating through the gate electrodes, extending in the second direction, spaced apart from each other in a third direction, and defining a center block region and an edge block region, and substrate insulating layers in the second substrate between the separation regions in the second region. A width of the substrate insulating layers in the third direction is greater in the edge block region than in the center block region.",H10B43/27; H01L23/528; H10B41/10; H10B41/27; H10B41/35; H10B43/10; H10B43/35,H10B43/27; H01L23/5283; H10B41/10; H10B41/27; H10B41/35; H10B43/10; H10B43/35,110-813-488-689-936,,2026
056-284-568-917-524,Apparatus for manufacturing semiconductor device,"An apparatus for manufacturing a semiconductor device includes a boat configured to support a plurality of stacked substrates, a first tube surrounding the boat in a lateral direction and having a cylindrical shape with an upper portion thereof being open, and a cleaning gas supply nozzle extending from an outer portion of the first tube to a portion between an interior sidewall of the first tube and the boat. The cleaning gas supply nozzle may include a first segment extending from the outer portion of the first tube to an inner portion of the first tube, a second segment extending in a lengthwise direction of the first tube from an end of the first segment, and a third segment extending in a direction differing from the extension direction of the second segment from an end of the second segment.",C23C16/44; B05B1/02; H01L21/67,C23C16/4405; B05B1/02; H01L21/67069,020-704-606-310-304; 033-416-458-235-482; 005-934-671-329-597; 190-951-979-341-325; 109-184-520-026-186; 027-112-665-080-313; 104-136-429-843-726,,2026
112-184-141-191-526,Substrate processing method and substrate processing apparatus for etching using oxidization,"A substrate processing method includes preparing a substrate having a target film including silicon, carbon, and nitrogen on a surface of the substrate; supplying hydrogen gas and oxygen gas to the target film to oxidize a surface layer of the target film and form an oxide film; and etching the oxide film.",H01L21/02; H01L21/311,H01L21/0214; H01L21/02233; H01L21/31116,175-267-223-745-587; 131-373-538-458-091; 035-586-526-924-402; 181-168-002-262-438; 152-548-294-854-007,,2026
190-269-631-117-873,InFO-POP structures with TIVs having cavities,"A method includes dispensing sacrificial region over a carrier, and forming a metal post over the carrier. The metal post overlaps at least a portion of the sacrificial region. The method further includes encapsulating the metal post and the sacrificial region in an encapsulating material, demounting the metal post, the sacrificial region, and the encapsulating material from the carrier, and removing at least a portion of the sacrificial region to form a recess extending from a surface level of the encapsulating material into the encapsulating material.",H01L23/538; H01L21/48; H01L21/56; H01L21/683; H01L23/00; H01L23/31; H01L25/00; H01L25/065; H01L25/10,H01L23/5389; H01L21/4853; H01L21/4857; H01L21/486; H01L21/565; H01L21/6835; H01L23/3114; H01L23/3121; H01L23/5383; H01L23/5386; H01L24/19; H01L24/20; H01L25/0657; H01L25/105; H01L25/50; H01L23/3128; H01L2221/68345; H01L2221/68359; H01L2221/68372; H01L2224/18; H01L2224/214; H01L2224/2919; H01L2225/0651; H01L2225/06568; H01L2225/1035; H01L2225/1058,100-771-035-747-472; 053-621-172-012-994; 112-670-223-132-54X; 172-001-835-512-023; 134-371-710-962-960; 107-192-952-677-748; 148-313-828-774-941; 109-383-841-376-189; 161-297-880-308-511; 034-741-371-377-264; 186-457-391-104-881; 063-331-317-608-826; 043-890-576-343-186,,2026
106-981-647-615-191,Semiconductor device comprising a semiconductor die and a carrier both covered by a parylene coating,"A semiconductor device includes a carrier comprising a recess, a semiconductor die disposed in the recess, and a parylene coating covering at least portions of the surfaces of the semiconductor die and the carrier.",H01L23/29; H01L21/56,H01L23/293; H01L21/56,175-577-971-597-472; 063-896-275-622-344; 088-611-500-882-157,,2026
045-334-129-378-753,Semiconductor memory device manufacturing method,A semiconductor memory device manufacturing method includes the following steps. A bit line structure is formed in a memory array area of a substrate. A gate structure is formed in a periphery area of the substrate. A dielectric layer is formed over the bit line structure and the gate structure. A lower hard mask layer is formed over the dielectric layer. An etch process diagnostic signal layer is formed over the lower hard mask layer. An upper hard mask layer is formed over the etch process diagnostic signal layer. A main etching step is performed to form a first via hole towards the bit line structure and a second via hole towards the gate structure until the upper hard mask layer is removed to expose the etch process diagnostic signal layer.,H01L21/033; H01L21/311; H01L21/768,H01L21/0332; H01L21/31144; H01L21/76877,197-820-616-807-047; 198-320-439-473-028; 168-637-678-695-741,,2026
035-466-642-755-339,Porous III-nitrides and methods of using and making thereof,"Porous III-nitrides having controlled/tuned optical, electrical, and thermal properties are described herein. Also disclosed are methods for preparing and using such porous III-nitrides.",H01L21/02; H01L21/306,H01L21/02458; H01L21/02381; H01L21/02505; H01L21/02576; H01L21/0262; H01L21/306,186-747-870-762-844; 047-864-549-763-27X; 006-649-736-590-096; 047-423-767-388-160; 183-540-937-289-151; 166-487-704-894-397; 109-475-839-444-953; 172-685-388-005-790; 121-140-760-197-670; 101-564-188-573-551; 064-522-433-055-227; 142-003-437-898-988; 127-588-287-020-08X; 122-359-412-940-15X; 005-394-688-852-005; 036-488-660-979-671; 183-344-906-222-079; 120-281-259-779-936; 051-934-867-945-20X; 172-121-443-883-729; 182-522-369-142-593; 156-950-516-915-700; 180-460-532-756-63X; 096-516-714-488-555; 036-632-629-564-308; 098-633-600-188-517; 108-006-350-945-367; 193-324-599-356-273; 060-461-149-893-07X; 103-359-829-931-743; 069-582-783-214-28X; 123-583-334-903-275; 115-124-961-664-936; 068-598-574-470-105,,2026
048-585-587-910-124,Micro display device and method for fabricating the same,"A method for fabricating a micro display device includes the steps of providing a wafer comprising a first area, a second area, and a third area, forming first bonding pads on the first area, forming second bonding pads on the second area, and forming third bonding pads on the third area. Preferably, the first bonding pads and the second bonding pads are made of different materials and the first bonding pads and the third bonding pads are made of different materials.",H10H20/857; H01L25/075; H10H20/01,H10H20/857; H01L25/0753; H10H20/0364,014-682-543-051-250; 042-117-911-782-668,,2026
103-504-584-603-546,Surface modification for metal-containing photoresist deposition,"Techniques described herein relate to methods, apparatus, and systems for promoting adhesion between a substrate and a metal-containing photoresist. For instance, the method may include receiving the substrate in a reaction chamber, the substrate having a first material exposed on its surface, the first material including a silicon-based material and/or a carbon-based material; generating a plasma from a plasma generation gas source that is substantially free of silicon, where the plasma includes chemical functional groups; exposing the substrate to the plasma to modify the surface of the substrate by forming bonds between the first material and chemical functional groups from the plasma; and depositing the metal-containing photoresist on the modified surface of the substrate, where the bonds between the first material and the chemical functional groups promote adhesion between the substrate and the metal-containing photoresist.",H01J37/32; G03F7/004; G03F7/09; G03F7/11; G03F7/16; H01L21/027; H01L21/033,H01J37/32449; G03F7/0042; G03F7/094; G03F7/11; G03F7/167; H01J37/32357; H01L21/0274; H01L21/0332; H01L21/0337; H01J37/321; H01J37/32816; H01J37/32899; H01J2237/3328,063-205-601-193-86X; 129-072-611-869-831; 139-946-699-861-128; 044-122-776-106-729; 150-671-056-167-093; 080-835-269-887-247; 150-545-223-312-888; 145-680-763-797-100; 127-116-849-006-074; 114-317-007-390-259; 095-456-109-903-126; 148-394-777-431-611; 063-081-778-991-590; 105-455-529-344-080; 091-774-086-295-786; 186-332-366-392-982; 161-415-571-872-834; 057-430-361-459-772; 197-809-648-133-57X; 127-672-532-264-574; 123-143-281-573-882; 191-148-927-913-567; 187-439-600-238-702; 155-969-304-344-962; 050-504-806-257-810; 183-964-817-103-235; 109-220-366-127-055; 192-149-508-401-242; 040-732-887-813-787; 087-758-361-080-743; 059-911-323-685-904; 089-044-801-844-769; 033-741-624-066-688; 131-402-891-661-648; 183-771-265-344-194; 105-969-105-612-748; 054-543-294-895-882; 196-009-948-820-337; 198-716-229-275-753; 067-094-227-359-044; 119-030-940-831-174; 150-524-125-322-22X; 153-440-964-369-636; 187-841-649-176-536; 106-969-608-466-216; 028-913-257-689-177; 164-846-747-531-00X; 153-226-511-098-83X; 077-301-416-049-098; 061-290-494-795-756; 033-122-122-401-762; 037-764-209-439-130; 143-850-100-357-32X; 065-120-061-083-917; 182-905-341-702-964; 199-001-340-274-991; 000-543-553-614-020; 120-500-832-889-124; 095-341-560-433-261; 062-218-184-003-602; 098-171-722-345-898; 199-930-929-904-083; 061-198-960-857-773; 151-941-284-452-148; 137-804-391-888-264; 157-188-006-543-518; 180-031-456-803-960; 049-507-230-669-57X; 083-865-078-190-603; 077-167-573-173-186; 039-962-465-346-769; 168-322-952-456-625; 042-086-064-255-859; 185-776-483-286-880; 146-899-173-367-349; 180-163-423-467-192; 172-745-729-703-290; 171-200-198-510-767; 013-047-939-980-129; 066-678-950-852-981; 085-009-629-925-559; 182-818-572-308-088; 128-882-312-089-403; 153-569-520-179-628; 056-206-701-399-014; 033-342-336-674-322; 029-814-788-973-444; 024-998-655-777-498; 148-090-852-645-909; 173-975-127-863-203; 136-600-539-192-837; 161-887-272-854-746; 097-533-076-831-62X; 151-122-991-750-882; 178-882-577-206-98X; 172-443-725-712-583; 192-873-168-656-480; 164-287-679-249-273; 171-587-596-838-548; 166-183-454-093-008; 091-912-946-579-467; 158-388-836-948-234; 197-979-712-216-399; 082-701-821-246-54X; 149-000-407-217-919; 044-204-374-140-114; 045-051-175-681-614; 172-627-744-205-591; 059-644-269-477-480; 101-924-370-812-80X; 182-129-603-772-382; 080-160-861-131-614; 030-744-107-588-060; 111-049-539-314-436; 023-387-018-620-632; 035-527-876-585-906; 163-204-714-848-085; 183-222-754-678-177; 122-170-597-887-834; 036-244-171-037-172; 029-967-665-627-485; 079-652-047-790-688; 184-805-176-484-24X; 172-929-636-793-270; 153-427-056-554-880; 137-148-716-441-098; 198-115-204-530-89X; 109-618-395-662-09X; 040-561-561-421-122; 190-416-004-145-389; 023-118-194-335-827; 171-146-138-605-575; 183-061-471-726-699; 197-402-220-536-453; 076-200-834-079-522; 049-210-842-336-314; 177-722-823-635-423; 007-492-143-213-379; 133-306-689-114-766; 046-658-319-184-105; 009-072-554-680-053; 091-945-225-848-71X; 094-095-889-220-133; 141-940-618-427-376; 153-217-466-396-891; 117-403-028-880-409; 045-635-604-200-073; 033-125-449-713-198; 044-023-346-067-850; 116-088-630-590-582; 058-343-640-189-585; 119-595-811-806-464; 114-184-578-432-073; 045-469-836-060-232; 136-220-884-555-024; 035-372-260-632-790; 104-257-481-669-367; 042-948-233-333-288; 056-396-897-496-982; 047-314-445-472-826; 133-779-359-214-019; 040-028-980-081-200; 136-114-993-244-226; 009-204-378-101-025; 122-860-481-853-323; 076-242-220-876-67X; 043-745-862-594-794; 131-256-952-374-886; 018-883-796-219-740; 100-661-237-757-735,,2026
