patent_id,title,abstract,ipc_codes,cpc_codes,citations,publication_year
053-951-003-150-474,Integral type solar energy mushroom aeration machine,"The utility model discloses an integral type solar energy mushroom aeration machine belongs to river course treatment equipment field, has solved the great unstable problem of whole solar energy aeration machine that causes of solar energy component occupation space in the solar energy aeration machine on current phase. Its technical scheme main points are integral type solar energy mushroom aeration machine, including body subassembly, aeration motor and solar energy component, polylith solar energy curb plate that solar energy component includes the solar energy mainboard, arranged along solar energy mainboard border circumference and install in body subassembly top and support the support frame of solar energy mainboard and solar energy curb plate, the solar energy curb plate is along keeping away from the downward sloping of solar energy mainboard direction, solar energy component compact structure among the integral type solar energy mushroom aeration machine, the effective area of the receipt solar energy in unit space volume is bigger, and whole platform integral type solar energy mushroom aeration machine stable higher on the river.",C02F7/00,Y02W10/10,cited_by:0 | cites:0,2019
180-118-540-907-844,SOLAR ENERGY COLLECTOR AND SYSTEM,There is disclosed a solar energy comprising an optical solar radiation concentrator that is operable to direct incident solar radiation to a primary solar energy collector and a secondary solar energy collector that is configured to collect at least some solar energy from diffuse solar radiation not directed to the primary solar energy collector. Also disclosed is a holistic solar energy system and energy supply system.,F24J2/00; F24J2/04; F24J2/34; F24S20/20; F24S23/30; F24S23/74,F24S23/31; F24S10/20; F24S20/20; F24S20/25; F24S20/40; F24S23/74; F24S60/30; Y02E10/44; F24S23/31; F24S23/74; F24S60/30,cited_by:11 | cites:0,2009
175-845-570-063-064,Solar mounting bracket capable of being adjusted in multiple directions,"The utility model discloses a solar energy installation support capable of being adjusted in multiple directions, which comprises a solar energy installation base, an installation plate, an illumination detection device, a solar energy main body, a solar energy angle adjusting device and a solar energy movable end. The solar energy is enabled to directly face the sun, the conversion efficiency of the solar energy is improved, a solar energy angle adjusting device is arranged at the bottom of the solar energy main body, the angle of the solar energy is adjusted through a hydraulic cylinder of the solar energy angle adjusting device, and it is guaranteed that the sunlight can vertically irradiate on the solar energy. The device can be suitable for different places such as the ground, a pitched roof and the like, and the convenience of solar installation is ensured.",F24S30/425; F24S50/80; H02S20/32,Y02B10/20; Y02E10/47; Y02E10/50,cited_by:1 | cites:0,2022
014-363-434-147-896,Solar energy and geothermal energy complementation type building energy system,"The invention discloses a solar energy and geothermal energy complementation type building energy system. According to the solar energy and geothermal energy complementation type building energy system, a solar energy and geothermal energy mutual complementation way is used for heating of buildings, and not only a solar heat collector is used for collecting solar energy, but also is a glass cover type air flowing way adopted for achieving solar heating; solar energy and geothermal energy are combined, so that solar energy and geothermal combined heat supply is achieved, the energy utilization rate is increased, and the energy supply effect of the buildings is improved. The solar energy and geothermal energy complementation type architecture energy system is reasonable in structure, the energy saving performance of the buildings can be greatly improved, the solar heat collector is used for solar energy conversion, and the solar heat collector is also matched with a transparent glass layer, so that an indoor fresh air system is obtained.",F24D15/02; E04D13/18; F24F7/007; F24J2/04; F24J2/52; F24J3/08,F24D15/02; F24D2200/11; F24D2200/14; F24F7/007; F24S10/00; F24S25/30; F24T10/10; Y02B10/20; Y02E10/10; Y02E10/44; Y02E10/47,cited_by:5 | cites:0,2016
043-970-440-698-260,RANKING CALCULAION APPARATUS OF PHOTOVOLTAIC POWER GENERATION SYSTEM AND DETECTION METHOD,"The present invention relates to a device for calculating the generation ranking of a solar energy generation system and a method thereof capable of improving the efficiency of solar energy generation by analyzing an installation state and an operation state of each solar energy generation unit installed for each field, calculating the generation ranking, and displaying the generation ranking. The device for calculating the generation ranking of the solar energy generation system comprises a plurality of solar energy generation units, a solar energy measurement unit, a solar energy generation ranking calculation unit, and a solar energy generation monitoring unit. The plurality of solar energy generation units comprises a solar battery module which is installed in each field and converts solar energy into electric energy. The solar energy measurement unit is installed in each solar energy generation unit; measures air temperature and the temperature, the amount of solar radiation, the generation time, and the generation amount of the solar battery module; and diagnoses fault, cleaning, and maintenance. The solar energy generation ranking calculation unit calculates reference generation amount with the generation time and the generation ratio of each solar energy generation unit based on a lot of information measured in the solar energy measurement unit and calculates the generation ranking by comparing the reference generation amount with real generation amount and calculating an increase ratio of solar energy generation according to the installed capacity of each solar energy generation unit. The solar energy generation monitoring unit monitors a generation state, monitoring, diagnosis, analysis, and a report with the ranking information of each solar energy generation unit, which is calculated in the solar energy generation ranking calculating unit, in real time.",G06F19/00,Y02E10/50; H02S50/00; Y02E10/40,cited_by:5 | cites:0,2014
091-331-973-977-246,Solar energy drone accessory maintenance method and device and computer storage medium,"The invention is applicable to the drones, and provides a solar energy drone accessory maintenance method and device and a computer storage medium. The method comprises the steps of shooting a solar energy drone accessory to be maintained, and generating a solar energy drone accessory image; importing the solar energy drone accessory image; obtaining a solar energy drone type; obtaining a solar energy drone accessory template image database; obtaining a solar energy drone accessory template image; generating solar energy drone accessory similarity according to a solar energy drone accessory similarity generating model, the solar energy drone accessory image and the solar energy drone accessory template image; obtaining a maintenance website of the solar energy drone accessory; loading thewebsite, obtaining a maintenance video of the solar energy drone accessory embedded in the website, and playing the maintenance video of the solar energy drone accessory. According to the solar energydrone accessory maintenance method and device and the computer storage medium, the maintenance website of the solar energy drone accessory can be directly obtained, which helps to improve the maintenance efficiency of the solar energy drone accessory.",G06F17/30; G06K9/62; G06Q10/00,G06F16/583; G06Q10/20; G06V10/751; Y02D10/00,cited_by:3 | cites:0,2018
044-106-645-475-460,Electric energy and solar energy mixed lighting system,"The invention provides an electric energy and solar energy mixed lighting system used for lighting road surfaces. The electric energy and solar energy mixed lighting system comprises a plurality of solar lighting devices supplying power through the solar energy, a plurality of electric energy lighting devices supplying power through the electric energy and an energy distributor, wherein at least one solar lighting device is arranged between every two adjacent electric energy lighting devices in the multiple electric energy lighting devices; and the energy distributor is connected with the multiple solar lighting devices and the multiple electric energy lighting devices and used for collecting surplus solar energy except the solar energy used for supplying power of the multiple solar lighting device, converting the surplus solar energy into the electric energy and transmitting the converted electric energy to the electric energy lighting devices. According to the electric energy and solar energy mixed lighting system, the solar lighting devices and the electric energy lighting devices are used at intervals, energy saving can be carried out to a certain degree. Moreover, by arrangingthe energy distributor, the solar energy can be utilized more reasonably, and under the situation that the solar energy is sufficiently utilized, the solar energy can be converted into the electric energy to supply power to the electric energy lighting devices.",F21S9/03; F21V21/14; F21V23/00; F21V23/04; F21W131/103; F21Y115/10,F21S9/03; F21V21/14; F21V23/02; F21V23/0471; F21W2131/103; F21Y2115/10; Y02B20/72,cited_by:0 | cites:0,2018
078-251-205-599-560,Solar-energy power-supply synergistic device,"This model utility relates to a solar energy power supply, concretely speaking, it refers to a solar energy power amplifier, which reflects sunlight to the solar energy battery panels by the lens of solar stoves to amply the solar energy. The solar energy power amplifier of this model utility comprises solar battery panels, lens of solar stoves, brackets of the solar stoves, brackets of battery panels and solar energy trackers. This model utility has the following beneficial effects: this model utility effectively integrates the solar stove and solar energy battery panes, reflects lights to the solar energy battery panels by the lens of solar stove, integrates and magnifies solar energies, thus the power energies of the solar energy battery panels are 2 3 times of energy output of common solar battery panels. This model utility has a simple structure, easy to be produced and mounted and is very cheap. This model utility can be used widely for herdsman home in pasturing areas and also for power supply net of power stations.",G02B17/06; G05D3/00; H02S20/32; H02S40/22,Y02B10/10; Y02E10/50,cited_by:0 | cites:0,2007
093-348-142-272-222,Solar-powered seawater desalination system in fixed point array,"The invention relates to focusing of solar energy, and in particular relates to a solar-powered seawater desalination system which collects solar energy by means of point focusing solar energy mirrors and is applied to focusing tracking solar energy. The invention provides the solar-powered seawater desalination system in a fixed point array. The system comprises at least one or one group of point focusing solar energy mirrors, at least one seawater desalination device and a tracking control device. The solar energy mirrors are arranged on a solar energy bracket, and the seawater desalination device is arranged in a pointy area focused by the solar energy mirrors. The focal length of the solar energy mirrors in the process of tracking solar energy changes and is always maintained in the pointy area of the seawater desalination device. The tracking control device controls the solar energy mirrors to focus sunlight to at least one seawater desalination device when sunlight changes. The seawater desalination devices do not move with the solar energy mirrors in the process of tracking solar energy by the solar energy mirrors, and the seawater desalination devices are stationary relative to the ground, so that solar energy is tracked and focused.",C02F1/14; C02F103/08; F24S50/20,Y02A20/124; Y02A20/142; Y02A20/212; Y02E10/47,cited_by:1 | cites:0,2013
081-451-632-467-276,Solar energy light heat converter,"The utility model discloses a solar energy photo-thermal convertor by which solar energy is converted to heat energy, adopting at least a solar energy lens, at least a heat absorption part, a heat preservation material, and a solar energy transmittance material. The solar light is transmitted by solar energy transmittance material and then is irradiated on the heat absorption part; the solar energy is converted to the heat energy by the heat absorption part, thereby realizing the new conversion utilization of solar energy, in particular to the medium-high temperature application of solar energy.",F24J2/34,Y02E10/40,cited_by:1 | cites:0,2007
094-185-213-439-206,Control processing system based on solar energy power generation,"The utility model provides a control processing system based on solar energy power generation, includes solar PV modules, controller, solar energy power generation processing apparatus, solar energy power generation instrument and equipment, solar energy power generation monitoring device, solar energy power generation output device, solar energy power generation processing apparatus's left side link to each other with controller, solar energy power generation instrument and equipment respectively for accomplish the electricity generation control of solar energy, the right side links to each other with solar energy power generation output device, solar energy power generation monitoring device respectively for accomplish solar energy power generation's the output and the control of solar energy, solar energy power generation monitoring device include camera, industrial computer, LCD display, accomplish the making a video recording of solar energy power generation, solar energy power generation running state's control. The utility model discloses a control processing system based on solar energy power generation simple structure, operation are stabilized, convenient operation, have improved solar energy power generation's utilization efficiency, have reduced solar energy power generation's cost, can produce fine economy and social.",G05B19/042,,cited_by:0 | cites:0,2017
001-104-750-547-789,3-three dimensional solar energy system-high tech,"PURPOSE: A three-dimensional solar energy system is provided to pragmatize, commercialize and generalize a solar energy system by using a solar cell. CONSTITUTION: An outer frame of a solar energy system is installed, and mirrors are installed on the bottom and on the sidewalls of the solar energy system. A cylindrical solar energy system, a pole-shaped solar energy system, a weight-shaped solar energy system, a polygonal solar energy system and a ball-shaped solar energy system are installed in the solar energy system. The sunlight is absorbed in the solar energy system and continuously reflected on the mirrors. By repeating absorption and reflection of the sunlight in the solar energy system, the amount of light and heat absorption is maximized. Herein, a both-sided mirror, a polygonal mirror, a spherical mirror, a cylindrical mirror and a pole-shaped mirror are included in the solar energy system. Thus, chain reflection occurs and light is geometrically activated, intensified and developed. Therefore, the amount of light and heat absorbed in the solar energy system is maximized.",F24S23/00,Y02E10/50; H10F19/00,cited_by:0 | cites:0,2001
150-027-594-451-086,A solar-energy charger,"The utility model relates to a solar-energy charger. The main technical characteristics of the solar-energy charger are that the solar-energy charger comprises a solar-energy power generating device and a charger, that the solar-energy power generating device comprises a solar-energy power battery assembly, a controller, an inverter, and a storage battery, that the solar-energy power battery assembly is successively connected with the controller and the inverter in series through wires, and that the controller is connected with the storage battery. The solar-energy charger has reasonable design and generates electricity with solar energy. Then, a load is charged through the charger. Through a solar-energy photovoltaic power generation system, solar energy is converted into electric energy to be provided for users, achieving the use of clean energy.",H02J7/00,,cited_by:0 | cites:0,2013
054-999-224-822-464,Solar energy collector adaptable to variable focal point,A solar energy collector includes: a solar energy collection tube having an absorption medium flow path for allowing an absorption medium to flow therethrough; a lens configured to concentrate solar energy on the solar energy collection tube; and an actuator configured to move the solar energy collection tube or the lens based on an incidence angle of the solar energy so that the solar energy is focused on the solar energy collection tube.,F24S23/71; F24S20/20; F24S23/70; H01L31/054,F24S23/30; F24S20/20; F24S23/31; F24S23/71; F24S80/56; F24S80/60; F24S2020/23; F24S2080/503; Y02E10/46; Y02E10/47; Y02E10/52; F24S20/20; F24S23/30; F24S23/31; F24S23/71; F24S30/20; F24S30/40; F24S50/80; F24S80/56; F24S80/60; F24S2020/23; F24S2080/503; Y02E10/46; H10F77/484; F24S20/20; F24S23/71; F24S2023/86,cited_by:1 | cites:0,2023
008-283-856-165-691,SOLAR ENERGY COLLECTOR ADAPTABLE TO VARIABLE FOCAL POINT,A solar energy collector includes: a solar energy collection tube having an absorption medium flow path for allowing an absorption medium to flow therethrough; a lens configured to concentrate solar energy on the solar energy collection tube; and an actuator configured to move the solar energy collection tube or the lens based on an incidence angle of the solar energy so that the solar energy is focused on the solar energy collection tube.,H01L31/054; F24S20/20; F24S23/71,F24S23/30; F24S20/20; F24S23/31; F24S23/71; F24S80/56; F24S80/60; F24S2020/23; F24S2080/503; Y02E10/46; Y02E10/47; Y02E10/52; F24S20/20; F24S23/30; F24S23/31; F24S23/71; F24S30/20; F24S30/40; F24S50/80; F24S80/56; F24S80/60; F24S2020/23; F24S2080/503; Y02E10/46; H10F77/484; F24S20/20; F24S23/71; F24S2023/86,cited_by:0 | cites:0,2021
166-660-333-486-859,Solar vehicle air conditioning system,"The utility model provides a solar vehicle air conditioning system, including solar cell panel, energy storage battery, air conditioner, solar?control ware and solar energy tracking means, solar cell panel with the energy storage battery electricity is connected, energy storage battery with the air conditioner electricity is connected, solar energy tracking means with solar cell panel connects, the solar?control ware with energy storage battery solar energy tracking means and automobile storage battery electricity are connected. This solar vehicle air conditioning system passes through solar cell panel absorbs solar energy and produces the electric energy, and save in among the energy storage battery, do through energy storage battery the air conditioner power supply. Solar energy tracking means can follow the tracks of the solar angle of shining in real time to make the rotatory optimum location to sun illumination of solar cell panel, make full use of solar energy, energy saving, environmental protection.",B60H1/00,Y02T10/88,cited_by:8 | cites:0,2016
042-447-556-010-752,SOLAR ENERGY COLLECTOR ADAPTABLE TO VARIABLE FOCAL POINT,A solar energy collector includes: a solar energy collection tube having an absorption medium flow path for allowing an absorption medium to flow therethrough; a lens configured to concentrate solar energy on the solar energy collection tube; and an actuator configured to move the solar energy collection tube or the lens based on an incidence angle of the solar energy so that the solar energy is focused on the solar energy collection tube.,F24S23/30; F03G6/06; F24S10/40; F24S10/70; F24S20/20; F24S23/70,F24S23/30; F24S20/20; F24S23/31; F24S23/71; F24S80/56; F24S80/60; F24S2020/23; F24S2080/503; Y02E10/46; Y02E10/47; Y02E10/52; F24S20/20; F24S23/30; F24S23/31; F24S23/71; F24S30/20; F24S30/40; F24S50/80; F24S80/56; F24S80/60; F24S2020/23; F24S2080/503; Y02E10/46; H10F77/484; F24S20/20; F24S23/71; F24S2023/86,cited_by:0 | cites:0,2021
155-390-893-840-071,METHOD OF TRACKING AND COLLECTING SOLAR ENERGY,"A method of tracking and collecting solar energy includes receiving solar energy on at least two solar energy receivers, measuring an energy output from each of the at least two solar energy receivers, comparing the energy output from one of the at least two solar energy receiver with the energy output from another of the at least two solar energy receivers, and shifting the at least two solar energy receivers until the energy output from the one of the at least two solar receivers is substantially equal to the another of the at least two solar receivers.",F24S50/20; F24S23/00,F24S50/20; H02S20/32; H10F77/42; Y02E10/47; Y02E10/52; Y02E70/30; F24S50/20; G05D3/105; H02S20/32; H10F77/42; Y02E10/47; Y02E10/52,cited_by:5 | cites:0,2013
134-426-480-592-284,Method of tracking and collecting solar energy,"A method of tracking and collecting solar energy includes receiving solar energy on at least two solar energy receivers, measuring an energy output from each of the at least two solar energy receivers, comparing the energy output from one of the at least two solar energy receiver with the energy output from another of the at least two solar energy receivers, and shifting the at least two solar energy receivers until the energy output from the one of the at least two solar receivers is substantially equal to the another of the at least two solar receivers.",F24S50/20; F24S23/00; G01S3/78; G05D3/00; G05D3/10; H01L31/054,F24S50/20; H02S20/32; H10F77/42; Y02E10/47; Y02E10/52; Y02E70/30; F24S50/20; G05D3/105; H02S20/32; H10F77/42; Y02E10/47; Y02E10/52,cited_by:2 | cites:0,2015
178-322-548-271-226,SOLAR THERMAL POWER PLANT WITH SUPERCRITICAL WORKING FLUID FOR CONVERTING SOLAR ENERGY INTO ELECTRICAL ENERGY AND METHOD FOR CONVERTING SOLAR ENERGY INTO ELECTRICAL ENERGY,"A solar thermal power plant for converting solar energy into electrical energy is provided. The solar thermal power plant comprises at least one solar energy absorber unit for absorbing the solar energy and for converting absorbed solar energy into thermal energy of a working fluid of the solar energy absorber unit and at least one converter unit for converting the thermal energy of the working fluid into the electrical energy, wherein the working fluid is a supercritical fluid. The supercritical fluid is preferably supercritical water. Additionally a method for converting solar energy into electrical energy by using the solar thermal power plant is provided, wherein the solar energy is converted into thermal energy of the working fluid and the thermal energy of the working fluid is converted into electrical energy.",F22B3/08; F01K3/18; F22B1/00; F22B29/02; F22B29/06; F22B35/08; F22B35/12,F22B3/08; F01K3/18; F22B1/006,cited_by:2 | cites:0,2013
146-376-462-084-780,Solar energy utilization system,"An embodiment of the utility model discloses a solar energy utilization system relates to solar energy and utilizes technical field, invents for improving the efficiency of light energy utilization. Solar energy utilization system includes: solar mirror and solar energy heat rceicer, the solar energy heat rceicer is the cylindricality, solar mirror is used for reflecting the Sun's rays on the solar energy heat rceicer, with form the annular cylindrical shape heat -affected zone on the solar energy heat rceicer. The utility model is applicable to occasions with solar energy application.",F24H1/20; F24J2/46; F24S10/40; F24S23/71,Y02E10/44,cited_by:2 | cites:0,2017
147-031-850-675-024,Solar energy bag,"The utility model relates to a solar energy bag, which comprises a folding solar energy collection module, and an accommodating bag capable of accommodating the folded solar energy collection module, wherein an electrical storage device is arranged in the accommodating bag and is coupled with solar panels of the solar energy collection module. According to the solar energy collection module, a plurality of solar panels are concentratively and fixedly arranged on a flexible base material layer; the unfolded solar energy collection module can supply a sufficient energy collection area, so that solar energy is converted into electric energy and is accumulated into the electrical storage device; and the solar energy collection module can be folded into a small-size solar energy collection module and is accommodated into the accommodating bag, so that the solar energy bag is convenient to carry.",A45C15/00; H02N6/00; H02S30/20,Y02E10/50,cited_by:3 | cites:0,2012
